queue_id,dataset_id,sha256,source_service,expected_size_bytes,expected_sha256,status,failure_reason
C01M1-DL-0027,DC-C01-S01-M1,00fafd8dcdbd59ff035117ff1e19c8329a92ab797e452304fbe82aa9027acf24,androzoo,,00fafd8dcdbd59ff035117ff1e19c8329a92ab797e452304fbe82aa9027acf24,downloaded,
C01M1-DL-0028,DC-C01-S01-M1,857a078a0526def00650097bafc3e8aad51550561f1a914f886263a9ee96b897,androzoo,,857a078a0526def00650097bafc3e8aad51550561f1a914f886263a9ee96b897,downloaded,
C01M1-DL-0029,DC-C01-S01-M1,0121be4c78ce7e335fce7eb56be26c78e7ee8d2fe04b55b68a3bcf5472ec2a79,androzoo,,0121be4c78ce7e335fce7eb56be26c78e7ee8d2fe04b55b68a3bcf5472ec2a79,skipped,interrupted_slow_download_pair_C01M1-CAND-0015
C01M1-DL-0030,DC-C01-S01-M1,de43eba5aba996ca78d8a339028817fb6cf1c28560c84725601347b827ebb74b,androzoo,,de43eba5aba996ca78d8a339028817fb6cf1c28560c84725601347b827ebb74b,skipped,interrupted_slow_download_pair_C01M1-CAND-0015
C01M1-DL-0031,DC-C01-S01-M1,015a06fe5119e8030c8521ecb742ef4bc638aa64b8c9f12969771f740ec5e151,androzoo,,015a06fe5119e8030c8521ecb742ef4bc638aa64b8c9f12969771f740ec5e151,downloaded,
C01M1-DL-0032,DC-C01-S01-M1,3577ae9b0f3e4ac2d3ff37af458bbe1d2bdbfb799d64ff2fc4abb14818a5e2b8,androzoo,,3577ae9b0f3e4ac2d3ff37af458bbe1d2bdbfb799d64ff2fc4abb14818a5e2b8,downloaded,
C01M1-DL-0033,DC-C01-S01-M1,0182f8e03306449f87c6c26204ca014cf79e180efb1560749be1bcbe4d49045c,androzoo,,0182f8e03306449f87c6c26204ca014cf79e180efb1560749be1bcbe4d49045c,downloaded,
C01M1-DL-0034,DC-C01-S01-M1,7bf21599ab895e19998f2c52acd2743088a191416d74d1a37aa17b21554c7c41,androzoo,,7bf21599ab895e19998f2c52acd2743088a191416d74d1a37aa17b21554c7c41,downloaded,
C01M1-DL-0035,DC-C01-S01-M1,01888a153046fd043b5c37189e2ad0060d10c0a27c5e11180f4941196fe9acfe,androzoo,,01888a153046fd043b5c37189e2ad0060d10c0a27c5e11180f4941196fe9acfe,downloaded,
C01M1-DL-0036,DC-C01-S01-M1,249c5562f5b544a28764d8261fea08e2e05a681e2f9ed1cee173cf121fc09778,androzoo,,249c5562f5b544a28764d8261fea08e2e05a681e2f9ed1cee173cf121fc09778,downloaded,
C01M1-DL-0037,DC-C01-S01-M1,0192987c9db717fa84e5b51d2fb31a17b42475fb6834f69c40fe407617dd1af9,androzoo,,0192987c9db717fa84e5b51d2fb31a17b42475fb6834f69c40fe407617dd1af9,downloaded,
C01M1-DL-0038,DC-C01-S01-M1,00e9e9bcf24affd2d87c034752ed9f74496eebc464d021fa79d48321b2b76ee3,androzoo,,00e9e9bcf24affd2d87c034752ed9f74496eebc464d021fa79d48321b2b76ee3,downloaded,
C01M1-DL-0039,DC-C01-S01-M1,0197ddb5ea5c2af189bc51a441fa1b6c5467bd902bfdccfcacde725d56317541,androzoo,,0197ddb5ea5c2af189bc51a441fa1b6c5467bd902bfdccfcacde725d56317541,downloaded,
C01M1-DL-0040,DC-C01-S01-M1,675852fd53756d069153df837e2d1f002d3571d9bbc42982c2da84b7bd005cb3,androzoo,,675852fd53756d069153df837e2d1f002d3571d9bbc42982c2da84b7bd005cb3,downloaded,
C01M1-DL-0041,DC-C01-S01-M1,019a8a0d6916011c67c8bb7eae39778fb82168e47b6b0bc9efd2b24e6b27ce13,androzoo,,019a8a0d6916011c67c8bb7eae39778fb82168e47b6b0bc9efd2b24e6b27ce13,downloaded,
C01M1-DL-0042,DC-C01-S01-M1,195c46b03b3bb42408aaf604ad9375e0efde1ccbadfee23acf20009515f876c4,androzoo,,195c46b03b3bb42408aaf604ad9375e0efde1ccbadfee23acf20009515f876c4,downloaded,
C01M1-DL-0043,DC-C01-S01-M1,01a81f0196554fc91315263b15ad65b4ca2ac08be2562c219fc87caec1ab564e,androzoo,,01a81f0196554fc91315263b15ad65b4ca2ac08be2562c219fc87caec1ab564e,downloaded,
C01M1-DL-0044,DC-C01-S01-M1,4badd2eca2808520c943899c31bf0e2f271dbd34a9b5d4c9e4cf5796336644f5,androzoo,,4badd2eca2808520c943899c31bf0e2f271dbd34a9b5d4c9e4cf5796336644f5,downloaded,
C01M1-DL-0045,DC-C01-S01-M1,01c6299941a04734370854fb928a326f659709ff4c663799025515bdd8407e08,androzoo,,01c6299941a04734370854fb928a326f659709ff4c663799025515bdd8407e08,downloaded,
C01M1-DL-0046,DC-C01-S01-M1,052ac8459faba929a899d7abfa6564466a2abb2649e9a0754cda6e672f71f207,androzoo,,052ac8459faba929a899d7abfa6564466a2abb2649e9a0754cda6e672f71f207,downloaded,
C01M1-DL-0047,DC-C01-S01-M1,01c65038bbc68ce7948c6896bbb554edb5bd3eb8d2ccb9e4d2031fe831e0c427,androzoo,,01c65038bbc68ce7948c6896bbb554edb5bd3eb8d2ccb9e4d2031fe831e0c427,downloaded,
