sha256,queue_id,decode_status,failure_class,decoded_dir,manifest_exists,apktool_yml_exists,smali_dir_count,res_exists,assets_exists,lib_exists,file_count
88a6267b2e14b3c9d8da450e4dae5db89f77f249abebcfd3a945c383560d0e8b,DC-C09-S01-M1-CAND-0013-LEFT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0013/left,true,true,1,true,false,false,20
8346b5267ad5d58ee085f7b7b4fa760a1783d1ac78564d41bded0289c6ebb671,DC-C09-S01-M1-CAND-0013-RIGHT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0013/right,true,true,2,true,false,false,20
2aa58c997381b50a7d6ac34fa92612918864a2aed284c69c9cf27b47f75e43bf,DC-C09-S01-M1-CAND-0014-LEFT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0014/left,true,true,1,true,false,false,21
272974b6e7a91823dcb70b0c257874b95d34cbb416b599a517f81a8be86a3307,DC-C09-S01-M1-CAND-0014-RIGHT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0014/right,true,true,2,true,false,false,21
6a96e3d5ed8ed631c5f9c5893fb2d7289ce96d5bea20b684fbd8a2ffe5f85de1,DC-C09-S01-M1-CAND-0015-LEFT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0015/left,true,true,1,true,false,false,22
d5071a4b1dde7fcfd30a3ce6193f0ac32b4ef533b28cd70e5ff4f5ce5f1f5458,DC-C09-S01-M1-CAND-0015-RIGHT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0015/right,true,true,2,true,false,false,22
3a7fdff1465d090af20b80ac932ab79ba6e96ef20c8e6ece042545f73c2eaf04,DC-C09-S01-M1-CAND-0016-LEFT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0016/left,true,true,1,true,false,false,19
72396e495e049912b97c03301c8bda7e55b5cc2d62c3764679df94f2541beeaf,DC-C09-S01-M1-CAND-0016-RIGHT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0016/right,true,true,2,true,false,false,19
24e55e5dc51887c838eec7d6a332113c19077c36104e97b65f3d132d6fe3b221,DC-C09-S01-M1-CAND-0017-LEFT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0017/left,true,true,1,true,false,false,20
3ba6a92759a049cde04eaad410d8680998bc4ea4d5dcdd0029b6d65fd22cef67,DC-C09-S01-M1-CAND-0017-RIGHT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0017/right,true,true,2,true,false,false,20
1f8bce2bc4440c503b4bc59799f94e2392d0038557723692c4e9fb12957a3a90,DC-C09-S01-M1-CAND-0018-LEFT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0018/left,true,true,1,true,false,false,21
732055db8cb1b8ce848464ab32064fb3aea0af8f0edb84653d8f1c6104927b68,DC-C09-S01-M1-CAND-0018-RIGHT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0018/right,true,true,2,true,false,false,21
503472bb89a9dc93807d993be09d8ce0bac31fdde96acfce5b5ccbe51f5084d2,DC-C09-S01-M1-CAND-0019-LEFT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0019/left,true,true,1,true,false,false,22
53c4ef3e63ca641e4421924d7cb6c57a38a41a9162234757c4038bb59731593c,DC-C09-S01-M1-CAND-0019-RIGHT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0019/right,true,true,2,true,false,false,22
b6a1aff42ec2cc418b1232e12b801befdee43effa6cc79a0028fe205ad627d61,DC-C09-S01-M1-CAND-0020-LEFT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0020/left,true,true,1,true,false,false,19
813124d077e86c39e2add9990ab0bc094a14311914a6722253bdf812d1ba8cf3,DC-C09-S01-M1-CAND-0020-RIGHT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0020/right,true,true,2,true,false,false,19
